Start Date,End Date,Instrument(s),ols_window,zscore_exit,zscore_entry,Total USD Return,Total BTC Return,Sharpe Ratio,BTC Sharpe Ratio,Max Drawdown,BTC Max Drawdown,Drawdown Duration,BTC Drawdown Duration,Avg. winning trade,Median duration,Avg. losing trade,Median returns winning,Largest losing trade,Gross loss,Largest winning trade,Avg duration,Avg returns losing,Median returns losing,Profit factor,Winning round trips,Percent profitable,Total profit,Shortest duration,Median returns all round trips,Losing round trips,Longest duration,Avg returns all round trips,Gross profit,Avg returns winning,Total number of round trips,Ratio Avg. Win:Avg. Loss,Avg. trade net profit,Even round trips
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,200,0.5,4.0,0.14%,-0.21%,0.03,-0.52,3.95%,0.23%,741,413,2.032827499999985,0 days 05:15:00,-3.9403606266666564,0.010489829529804503,-0.058822061771507124,-11.82108187999997,0.010489829529804503,0 days 07:53:45,-0.021287436120268764,-0.003791241040469848,0.17196628198974884,1.0,0.25,-9.788254379999984,0 days 04:55:00,-0.002520123294649587,3.0,0 days 16:10:00,-0.013343119707750449,2.032827499999985,0.010489829529804503,4.0,0.5158988459692465,-2.447063594999996,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,200,0.5,4.5,0.35%,0.01%,0.06,0.04,3.74%,0.05%,738,412,3.6499787999999995,0 days 10:27:30,-0.9032902450000186,0.019018133519439904,-0.010492896761364631,-2.709870735000056,0.019018133519439904,0 days 10:27:30,-0.004816928290106288,-0.003931625193265789,1.3469198928412813,1.0,0.25,0.9401080649999438,0 days 04:50:00,-0.0019789440544771162,3.0,0 days 16:05:00,0.0011418371622802601,3.6499787999999995,0.019018133519439904,4.0,4.040759678523844,0.23502701624998595,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,200,0.5,5.0,0.35%,0.01%,0.06,0.04,3.74%,0.05%,738,412,3.6499787999999995,0 days 10:27:30,-0.9032902450000186,0.019018133519439904,-0.010492896761364631,-2.709870735000056,0.019018133519439904,0 days 10:27:30,-0.004816928290106288,-0.003931625193265789,1.3469198928412813,1.0,0.25,0.9401080649999438,0 days 04:50:00,-0.0019789440544771162,3.0,0 days 16:05:00,0.0011418371622802601,3.6499787999999995,0.019018133519439904,4.0,4.040759678523844,0.23502701624998595,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,200,1.0,4.0,0.14%,-0.20%,0.03,-0.50,3.95%,0.22%,741,413,1.3188413199999844,0 days 05:15:00,-5.793782199999982,0.0068624969392600405,-0.058822061771507124,-11.587564399999964,0.010489829529804503,0 days 06:26:15,-0.031306651405988484,-0.031306651405988484,0.22763046218754798,2.0,0.5,-8.949881759999995,0 days 04:55:00,-0.00027803834587713486,2.0,0 days 10:20:00,-0.012222077233364223,2.637682639999969,0.0068624969392600405,4.0,0.22763046218754798,-2.2374704399999987,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,200,1.0,4.5,0.34%,-0.00%,0.06,-0.03,3.74%,0.06%,738,412,2.2423919325000026,0 days 07:32:30,-2.026432745000019,0.01173528217766257,-0.017720864350328585,-4.052865490000038,0.019018133519439904,0 days 07:32:30,-0.010826244771797187,-0.010826244771797187,1.1065711102590685,2.0,0.5,0.431918374999968,0 days 04:50:00,0.0002604028213097232,2.0,0 days 10:15:00,0.00045451870293269133,4.484783865000005,0.01173528217766257,4.0,1.1065711102590685,0.107979593749992,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,200,1.0,5.0,0.34%,-0.00%,0.06,-0.03,3.74%,0.06%,738,412,2.2423919325000026,0 days 07:32:30,-2.026432745000019,0.01173528217766257,-0.017720864350328585,-4.052865490000038,0.019018133519439904,0 days 07:32:30,-0.010826244771797187,-0.010826244771797187,1.1065711102590685,2.0,0.5,0.431918374999968,0 days 04:50:00,0.0002604028213097232,2.0,0 days 10:15:00,0.00045451870293269133,4.484783865000005,0.01173528217766257,4.0,1.1065711102590685,0.107979593749992,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,200,1.5,4.0,0.11%,-0.24%,0.02,-0.60,3.99%,0.24%,741,657,0.7718541899999976,0 days 04:45:00,-3.864009699999984,0.004128385447621061,-0.058822061771507124,-11.592029099999952,0.004128385447621061,0 days 05:17:30,-0.020872309546428495,-0.0027236188716675907,0.0665849079002054,1.0,0.25,-10.820174909999954,0 days 03:55:00,-0.0018974334338891813,3.0,0 days 07:45:00,-0.014622135797916106,0.7718541899999976,0.004128385447621061,4.0,0.19975472370061617,-2.7050437274999886,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,200,1.5,4.5,0.28%,-0.06%,0.05,-0.42,3.78%,0.07%,738,412,1.2261815699999827,0 days 05:45:00,-2.3524817700000002,0.006450629359147074,-0.02230688274125859,-4.7049635400000005,0.0075566976005854115,0 days 05:45:00,-0.012585518106669498,-0.012585518106669498,0.5212289360269867,2.0,0.5,-2.252600400000035,0 days 03:50:00,0.0012402038228141652,2.0,0 days 07:40:00,-0.003067444373761212,2.4523631399999655,0.006450629359147074,4.0,0.5212289360269867,-0.5631501000000088,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,200,1.5,5.0,0.28%,-0.06%,0.05,-0.42,3.78%,0.07%,738,412,1.2261815699999827,0 days 05:45:00,-2.3524817700000002,0.006450629359147074,-0.02230688274125859,-4.7049635400000005,0.0075566976005854115,0 days 05:45:00,-0.012585518106669498,-0.012585518106669498,0.5212289360269867,2.0,0.5,-2.252600400000035,0 days 03:50:00,0.0012402038228141652,2.0,0 days 07:40:00,-0.003067444373761212,2.4523631399999655,0.006450629359147074,4.0,0.5212289360269867,-0.5631501000000088,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,300,0.5,4.0,0.32%,-0.02%,0.06,-0.26,3.77%,0.04%,738,412,1.5174509199999924,0 days 11:22:30,-1.6173521999999931,0.00791719532375662,-0.013477420758373092,-3.2347043999999863,0.010489829529804503,0 days 11:22:30,-0.00863433089942147,-0.00863433089942147,0.9382315861690477,2.0,0.5,-0.1998025600000013,0 days 04:55:00,0.0007766600386194442,2.0,0 days 17:50:00,-0.0003585677878324251,3.0349018399999848,0.00791719532375662,4.0,0.9382315861690477,-0.049950640000000324,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,300,0.5,4.5,0.35%,0.01%,0.06,0.07,3.74%,0.04%,738,412,2.32602657,0 days 11:20:00,-1.630760120000015,0.01218134731857432,-0.013477420758373092,-3.26152024000003,0.019018133519439904,0 days 11:20:00,-0.00870452297581944,-0.00870452297581944,1.4263450163350686,2.0,0.5,1.3905328999999693,0 days 04:50:00,0.0007064679622214736,2.0,0 days 17:50:00,0.0017384121713774397,4.65205314,0.01218134731857432,4.0,1.4263450163350686,0.34763322499999233,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,300,0.5,5.0,0.36%,0.02%,0.06,0.11,3.74%,0.04%,738,412,2.32602657,0 days 11:20:00,-1.630760120000015,0.01218134731857432,-0.013477420758373092,-3.26152024000003,0.019018133519439904,0 days 11:20:00,-0.00870452297581944,-0.00870452297581944,1.4263450163350686,2.0,0.5,1.3905328999999693,0 days 04:50:00,0.0007064679622214736,2.0,0 days 17:50:00,0.0017384121713774397,4.65205314,0.01218134731857432,4.0,1.4263450163350686,0.34763322499999233,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,300,1.0,4.0,0.28%,-0.06%,0.05,-0.40,3.77%,0.08%,738,412,1.1642959449999826,0 days 10:22:30,-2.2048155749999983,0.006033644101488564,-0.01977774970873274,-4.4096311499999965,0.010489829529804503,0 days 10:22:30,-0.011784495374601293,-0.011784495374601293,0.5280695393309636,2.0,0.5,-2.0810392600000314,0 days 04:55:00,-0.0011068911836486107,2.0,0 days 15:50:00,-0.002875425636556365,2.328591889999965,0.006033644101488564,4.0,0.5280695393309636,-0.5202598150000078,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,300,1.0,4.5,0.31%,-0.03%,0.06,-0.16,3.74%,0.08%,738,412,1.9728715949999898,0 days 10:20:00,-2.21822349500002,0.010297796096306265,-0.01977774970873274,-4.43644699000004,0.019018133519439904,0 days 10:20:00,-0.011854687450999265,-0.011854687450999265,0.8893926150574705,2.0,0.5,-0.4907038000000609,0 days 04:50:00,-0.0011770832600465813,2.0,0 days 15:50:00,-0.0007784456773464996,3.9457431899999795,0.010297796096306265,4.0,0.8893926150574705,-0.12267595000001523,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,300,1.0,5.0,0.32%,-0.02%,0.06,-0.13,3.74%,0.08%,738,412,1.9728715949999898,0 days 10:20:00,-2.21822349500002,0.010297796096306265,-0.01977774970873274,-4.43644699000004,0.019018133519439904,0 days 10:20:00,-0.011854687450999265,-0.011854687450999265,0.8893926150574705,2.0,0.5,-0.4907038000000609,0 days 04:50:00,-0.0011770832600465813,2.0,0 days 15:50:00,-0.0007784456773464996,3.9457431899999795,0.010297796096306265,4.0,0.8893926150574705,-0.12267595000001523,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,300,1.5,4.0,0.26%,-0.08%,0.05,-0.68,3.80%,0.08%,738,657,0.9724087649999806,0 days 07:17:30,-1.3649481433333206,0.0051863398437465924,-0.020325478152489234,-4.094844429999962,0.0051863398437465924,0 days 07:17:30,-0.007306382479784872,-0.0012549114094888292,0.23747147947205155,1.0,0.25,-3.1224356649999816,0 days 04:40:00,-0.0007968346434326911,3.0,0 days 09:55:00,-0.004183201898902006,0.9724087649999806,0.0051863398437465924,4.0,0.7124144384161547,-0.7806089162499954,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,300,1.5,4.5,0.29%,-0.05%,0.05,-0.37,3.77%,0.07%,738,412,1.2810330824999818,0 days 07:15:00,-2.028006134999999,0.006734607220545466,-0.020325478152489234,-4.056012269999998,0.008282874597344338,0 days 07:15:00,-0.010860565565154454,-0.010860565565154454,0.6316712067046988,2.0,0.5,-1.4939461050000349,0 days 04:35:00,0.0018953434329634588,2.0,0 days 09:55:00,-0.002062979172304495,2.5620661649999636,0.006734607220545466,4.0,0.6316712067046988,-0.3734865262500087,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,300,1.5,5.0,0.30%,-0.04%,0.06,-0.33,3.77%,0.06%,738,412,1.2810330824999818,0 days 07:15:00,-2.028006134999999,0.006734607220545466,-0.020325478152489234,-4.056012269999998,0.008282874597344338,0 days 07:15:00,-0.010860565565154454,-0.010860565565154454,0.6316712067046988,2.0,0.5,-1.4939461050000349,0 days 04:35:00,0.0018953434329634588,2.0,0 days 09:55:00,-0.002062979172304495,2.5620661649999636,0.006734607220545466,4.0,0.6316712067046988,-0.3734865262500087,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,400,0.5,4.0,0.32%,-0.02%,0.06,-0.20,3.77%,0.04%,738,412,6.406048365528638,0 days 21:57:30,-6.366757540528717,0.033489727044596546,-0.04227472804870368,-12.733515081057433,0.05218875278170563,0 days 21:57:30,-0.0332668335506614,-0.0332668335506614,1.0061712456850773,2.0,0.5,0.07858164999984263,0 days 18:25:00,-0.004734118872565836,2.0,1 days 01:30:00,0.00011144674696756968,12.812096731057276,0.033489727044596546,4.0,1.0061712456850773,0.019645412499960657,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,400,0.5,4.5,0.36%,0.02%,0.07,0.39,3.76%,0.01%,738,221,4.492000799999971,0 days 18:25:00,-3.0741878400000586,0.023405470460220297,-0.016154991142796712,-3.0741878400000586,0.023405470460220297,0 days 18:25:00,-0.016154991142796712,-0.016154991142796712,1.4611991959475987,1.0,0.5,1.4178129599999125,0 days 18:25:00,0.0036252396587117923,1.0,0 days 18:25:00,0.0036252396587117923,4.492000799999971,0.023405470460220297,2.0,1.4611991959475987,0.7089064799999563,0.0
